trndesc,player,club_badge,club,fee
Arrivals 64/65,Alan Gilzean,,Dundee FC,£131Th.
Arrivals 64/65,Alan Mullery,,Fulham,£72Th.
Arrivals 64/65,Cyril Knowles,,Middlesbrough,£54Th.
Arrivals 64/65,Pat Jennings,,Watford,£27Th.
Arrivals 64/65,Laurie Brown,,Arsenal,?
Arrivals 64/65,Roger Hoy,,Spurs U18,-
Departures 64/65,John Hollowbread,,Southampton,£3Th.
Departures 64/65,Bobby Smith,,Brighton,?
Departures 64/65,Mel Hopkins,,Brighton,?
Departures 64/65,John Smith,,Coventry,?
Departures 64/65,Danny Blanchflower,,Retired,-
Arrivals 63/64,Jimmy Robertson,,St. Mirren,£33Th.
Arrivals 63/64,Keith Weller,,Spurs U18,-
Arrivals 63/64,Derek Possee,,Spurs U18,-
Arrivals 63/64,Phil Beal,,Spurs U18,-
Departures 63/64,Terry Medwin,,Unknown,?
Arrivals 61/62,Jimmy Greaves,,Milan,£113Th.
Arrivals 61/62,Roy Low,,Spurs U18,-
Departures 61/62,John Ryden,,Watford,free transfer
Arrivals 60/61,Frank Saul,,Spurs U18,-
Departures 60/61,Danny Blanchflower,,TCity,loan transfer
Departures 60/61,Tommy Harmer,,Watford,?
Departures 60/61,Ron Reynolds,,Southampton,?
Arrivals 59/60,John White,,Falkirk,£27Th.
Arrivals 59/60,Bill Brown,,Dundee FC,£23Th.
Arrivals 59/60,Tony Marchi,,Juventus,£21Th.
Arrivals 59/60,Les Allen,,Chelsea,?
Arrivals 59/60,John Smith,,West Ham,?
Arrivals 59/60,Alan Gilzean,,Aldershot,End of loan
Departures 59/60,Alfie Stokes,,Fulham,£10Th.
Departures 59/60,Alan Gilzean,,Aldershot,loan transfer
Departures 59/60,Jim Iley,,Nottm Forest,?
Departures 59/60,Johnny Brooks,,Chelsea,?
Departures 59/60,Dave Dunmore,,West Ham,?
Departures 59/60,George Robb,,Retired,-
Arrivals 58/59,Dave Mackay,,Heart of Midl.,£54Th.
Arrivals 58/59,Cliff Jones,,Swansea Town,?
Departures 58/59,Ted Ditchburn,,Career break,-
Departures 58/59,Micky Dulin,,Retired,-
Arrivals 57/58,Jim Iley,,Sheff Utd,?
Departures 57/58,Tony Marchi,,Juventus,£43Th.
Departures 57/58,Colin Brittan,,Bedford Town,?
Departures 57/58,Harry Clarke,,Retired,-
Arrivals 56/57,Terry Medwin,,Swansea Town,?
Departures 56/57,Sid McClellan,,Portsmouth,?
Arrivals 55/56,Maurice Norman,,Norwich,£32Th.
Arrivals 55/56,Bobby Smith,,Chelsea,£18Th.
Arrivals 55/56,John Ryden,,Accrington,£10Th.
Arrivals 55/56,Terry Dyson,,Scarborough,?
Arrivals 55/56,Ron Henry,,Spurs U18,-
Departures 55/56,Eddie Baily,,Port Vale,£8Th.
Departures 55/56,Johnny Gavin,,Norwich,?
Departures 55/56,Alf Ramsey,,Retired,-
Departures 55/56,Bill Nicholson,,Retired,-
Arrivals 54/55,Johnny Gavin,,Norwich,?
Arrivals 54/55,Danny Blanchflower,,Aston Villa,?
Departures 54/55,Arthur Willis,,Swansea Town,?
Departures 54/55,Ron Burgess,,Swansea Town,?
Arrivals 53/54,Dave Dunmore,,York City,?
Arrivals 52/53,Peter Baker,,Enfield Town,?
Arrivals 52/53,Alfie Stokes,,Clapton FC,?
Arrivals 52/53,Johnny Brooks,,Reading,?
Arrivals 52/53,Micky Dulin,,Welwyn Garden City FC,?
Departures 52/53,Peter Murphy,,Birmingham,?
Arrivals 51/52,Tommy Harmer,,Unknown,?
Arrivals 51/52,George Robb,,Wingate FC,?
Arrivals 51/52,Mel Hopkins,,Spurs U18,-
Arrivals 51/52,John Hollowbread,,Spurs U18,-
Arrivals 50/51,Peter Murphy,,Coventry,?
Arrivals 50/51,Ron Reynolds,,Aldershot FC,?
Arrivals 50/51,Tony Marchi,,Spurs U18,-
Departures 50/51,Billy Rees,,Leyton Orient,?
Arrivals 49/50,Billy Rees,,Cardiff,?
Arrivals 49/50,Sid McClellan,,Chelmsford City,?
Departures 49/50,Ernie Jones,,Southampton,?
Arrivals 48/49,Harry Clarke,,Lovell's Ath.,?
Arrivals 48/49,Alf Ramsey,,Southampton,?
Arrivals 48/49,Colin Brittan,,Unknown,?
Departures 48/49,Archie Hughes,,Blackburn,?
Departures 48/49,Johnny Jordan,,Juventus,?
Arrivals 47/48,Johnny Jordan,,Grays Athletic FC,?
Arrivals 47/48,Ernie Jones,,Swansea Town,?
Departures 47/48,Ronnie Dix,,Reading,?
Arrivals 46/47,Archie Hughes,,Huddersfield,?
Arrivals 46/47,Eddie Baily,,Tottenham U21,-
Arrivals 44/45,Arthur Willis,,Wingate FC,?
Departures 43/44,Willie Hall,,Retired,-
Arrivals 39/40,Ronnie Dix,,Derby,?
Arrivals 39/40,Ted Ditchburn,,Tottenham U21,-
Departures 39/40,Arthur Rowe,,Retired,-
Arrivals 38/39,Bert Sproston,,Leeds,?
Arrivals 38/39,Ron Burgess,,Unknown,?
Arrivals 38/39,Les Medley,,Unknown,?
Arrivals 38/39,Bill Nicholson,,Tottenham U21,-
Departures 38/39,Bert Sproston,,Man City,?
Departures 37/38,George Hunt,,Arsenal,£8Th.
Departures 36/37,Walter Alsford,,Nottm Forest,?
Departures 33/34,Willie Davies,,Swansea Town,?
Arrivals 32/33,Willie Hall,,Notts County,£3Th.
Arrivals 30/31,Willie Davies,,Notts County,?
Arrivals 30/31,George Hunt,,Chesterfield FC,?
Arrivals 1929/30,Arthur Rowe,,Unknown,?
Departures 1919/20,Alec Chaplin,,Fulham,?
Arrivals 1917/18,Alec Chaplin,,Unknown,?
Departures 1909/10,Vivian Woodward,,Chelsea,?
Arrivals 1901/02,Vivian Woodward,,Unknown,?
Departures 1895/96,Bill Julian,,Dartford,?
Arrivals 1894/95,Bill Julian,,Luton,?
